Incremental transfer (MW),Branch flow (MVA),Branch flow (MVA) ,Bus voltage group
500,188,63,0
1000,194,67,0
1500,200,72,0
2000,207,77,0
2500,213,82,0
3000,219,87,0
3500,225,93,0
4000,231,99,0
4500,237,105,0
5000,243,116,0
5500,249,117,0
6000,255,124,0
6500,261,130,0
7000,267,137,0
7500,273,143,0
8000,279,4150,0
8500,248,157,0
9000,290,164,0
9500,296,171,0
10000,303,178,0
10500,309,185,0
11000,315,193,0
11500,321,200,0
12000,328,209,1
12500,334,217,1
13000,341,226,1
13500,348,235,1
14000,355,246,1
14176,358,250,1
14220,359,250,1
14242,359,250,1
0,102,168,0
500,103,168,0
1000,104,167,0
1500,106,167,0
2000,108,168,0
2500,110,168,0
3000,112,168,0
3500,115,169,0
4000,119,170,0
4500,122,171,0
5000,126,173,0
5500,131,174,0
6000,135,176,0
6500,141,178,0
7000,146,181,0
7500,152,184,0
8000,158,188,0
8500,165,191,0
8750,169,194,0
8876,171,195,0
8938,172,195,0
8969,172,196,0
89768,172,196,0
0,179,655,0
500,167,668,0
1000,155,681,0
1500,143,694,0
2000,132,707,0
2500,120,721,0
3000,109,734,0
3500,98,748,0
4000,87,761,0
4500,78,775,0
5000,69,790,0
5500,62,804,0
6000,56,818,0
6500,54,833,0
7000,54,848,0
7500,58,863,0
8000,65,879,0
8500,73,895,0
9000,83,912,0
9500,94,929,0
10000,106,946,0
10500,118,965,0
11000,131,983,0
11500,145,1003,0
12000,159,1024,0
12500,173,1046,0
13000,189,1069,0
13500,205,1095,0
14000,220,1125,0
14176,221,1143,0
14220,222,1152,0
14242,222,1157,0
0,180,656,0
500,467,668,0
1000,155,681,0
1500,144,694,0
2000,132,708,0
2500,120,721,0
3000,109,734,0
3500,98,784,0
4000,88,762,0
4500,78,776,0
5000,70,791,0
5500,63,805,0
6000,58,820,0
6500,56,835,0
7000,57,850,0
7500,62,866,0
8000,68,882,0
8500,77,899,0
8750,82,907,0
